Product,Brand,Price,SaleDate,Quantity,Region,RAM,ROM,Year,Month,Day,Revenue,Prev_Quantity,Growth_Rate_%,Trend
Laptop,Acer,70126.0,2023-04-27,2,North,12GB,64GB,2023,4,27,140252.0,1,100.0,Forte Hausse
Mobile Phone,Acer,188596.0,2023-04-29,1,Central,16GB,256GB,2023,4,29,188596.0,2,-50.0,Baisse
Mobile Phone,Acer,113937.0,2023-04-29,5,North,8GB,1TB,2023,4,29,569685.0,1,400.0,Forte Hausse
Laptop,Acer,107923.0,2023-05-02,4,North,12GB,256GB,2023,5,2,431692.0,5,-20.0,Baisse
Mobile Phone,Acer,183459.0,2023-05-02,4,South,6GB,64GB,2023,5,2,733836.0,4,0.0,Stable
Mobile Phone,Acer,41488.0,2023-05-03,4,Central,8GB,128GB,2023,5,3,165952.0,4,0.0,Stable
Mobile Phone,Acer,73250.0,2023-05-04,10,Central,4GB,128GB,2023,5,4,732500.0,4,150.0,Forte Hausse
Mobile Phone,Acer,30768.0,2023-05-05,4,East,4GB,512GB,2023,5,5,123072.0,10,-60.0,Baisse
Laptop,Acer,155695.0,2023-05-05,2,East,32GB,64GB,2023,5,5,311390.0,4,-50.0,Baisse
Mobile Phone,Acer,64149.0,2023-05-05,2,West,4GB,128GB,2023,5,5,128298.0,2,0.0,Stable
Mobile Phone,Acer,73175.0,2023-05-05,10,West,4GB,256GB,2023,5,5,731750.0,2,400.0,Forte Hausse
Mobile Phone,Acer,77538.0,2023-05-06,10,West,16GB,64GB,2023,5,6,775380.0,10,0.0,Stable
Laptop,Acer,110157.0,2023-05-06,2,North,4GB,64GB,2023,5,6,220314.0,10,-80.0,Baisse
Laptop,Acer,48296.0,2023-05-06,1,South,6GB,256GB,2023,5,6,48296.0,2,-50.0,Baisse
Mobile Phone,Acer,139504.0,2023-05-07,6,Central,16GB,1TB,2023,5,7,837024.0,1,500.0,Forte Hausse
Mobile Phone,Acer,84966.0,2023-05-08,10,North,6GB,512GB,2023,5,8,849660.0,6,66.67,Forte Hausse
Mobile Phone,Acer,34116.0,2023-05-08,10,East,32GB,128GB,2023,5,8,341160.0,10,0.0,Stable
Mobile Phone,Acer,83649.0,2023-05-09,6,South,16GB,128GB,2023,5,9,501894.0,10,-40.0,Baisse
Laptop,Acer,55514.0,2023-05-10,1,West,32GB,1TB,2023,5,10,55514.0,6,-83.33,Baisse
Mobile Phone,Acer,185337.0,2023-05-11,1,East,12GB,1TB,2023,5,11,185337.0,1,0.0,Stable
Mobile Phone,Acer,56843.0,2023-05-13,7,Central,6GB,256GB,2023,5,13,397901.0,1,600.0,Forte Hausse
Laptop,Acer,114646.0,2023-05-16,1,Central,32GB,128GB,2023,5,16,114646.0,7,-85.71,Baisse
Laptop,Acer,99692.0,2023-05-16,4,West,16GB,64GB,2023,5,16,398768.0,1,300.0,Forte Hausse
Laptop,Acer,112360.0,2023-05-17,9,South,8GB,64GB,2023,5,17,1011240.0,4,125.0,Forte Hausse
Mobile Phone,Acer,36034.0,2023-05-17,10,South,4GB,1TB,2023,5,17,360340.0,9,11.11,Forte Hausse
Mobile Phone,Acer,64378.0,2023-05-18,9,North,32GB,128GB,2023,5,18,579402.0,10,-10.0,Baisse
Mobile Phone,Acer,78949.0,2023-05-18,10,West,32GB,512GB,2023,5,18,789490.0,9,11.11,Forte Hausse
Laptop,Acer,104830.0,2023-05-20,3,West,16GB,128GB,2023,5,20,314490.0,10,-70.0,Baisse
Mobile Phone,Acer,140491.0,2023-05-20,8,East,6GB,512GB,2023,5,20,1123928.0,3,166.67,Forte Hausse
Laptop,Acer,163272.0,2023-05-21,6,Central,16GB,1TB,2023,5,21,979632.0,8,-25.0,Baisse
Mobile Phone,Acer,156702.0,2023-05-21,6,South,6GB,128GB,2023,5,21,940212.0,6,0.0,Stable
Mobile Phone,Acer,15966.0,2023-05-21,3,North,16GB,512GB,2023,5,21,47898.0,6,-50.0,Baisse
Laptop,Acer,54627.0,2023-05-22,6,North,4GB,128GB,2023,5,22,327762.0,3,100.0,Forte Hausse
Mobile Phone,Acer,51065.0,2023-05-22,1,West,4GB,128GB,2023,5,22,51065.0,6,-83.33,Baisse
Mobile Phone,Acer,174998.0,2023-05-23,10,East,6GB,64GB,2023,5,23,1749980.0,1,900.0,Forte Hausse
Mobile Phone,Acer,154246.0,2023-05-24,6,North,16GB,1TB,2023,5,24,925476.0,10,-40.0,Baisse
Mobile Phone,Acer,41228.0,2023-05-24,1,North,8GB,128GB,2023,5,24,41228.0,6,-83.33,Baisse
Laptop,Acer,24890.0,2023-05-26,2,Central,8GB,128GB,2023,5,26,49780.0,1,100.0,Forte Hausse
Laptop,Acer,88972.0,2023-05-26,5,West,8GB,512GB,2023,5,26,444860.0,2,150.0,Forte Hausse
Laptop,Acer,79276.0,2023-05-26,5,Central,16GB,1TB,2023,5,26,396380.0,5,0.0,Stable
Laptop,Acer,196510.0,2023-05-26,4,South,32GB,64GB,2023,5,26,786040.0,5,-20.0,Baisse
Mobile Phone,Acer,182232.0,2023-05-28,9,East,6GB,1TB,2023,5,28,1640088.0,4,125.0,Forte Hausse
Laptop,Acer,53209.0,2023-05-28,6,Central,12GB,64GB,2023,5,28,319254.0,9,-33.33,Baisse
Laptop,Acer,159187.0,2023-05-29,8,West,32GB,1TB,2023,5,29,1273496.0,6,33.33,Forte Hausse
Mobile Phone,Acer,15819.0,2023-05-30,9,Central,32GB,64GB,2023,5,30,142371.0,8,12.5,Forte Hausse
Mobile Phone,Acer,173517.0,2023-05-30,6,North,6GB,64GB,2023,5,30,1041102.0,9,-33.33,Baisse
Laptop,Acer,123420.0,2023-05-30,9,North,6GB,128GB,2023,5,30,1110780.0,6,50.0,Forte Hausse
Laptop,Acer,93189.0,2023-05-31,3,North,12GB,1TB,2023,5,31,279567.0,9,-66.67,Baisse
Mobile Phone,Acer,26446.0,2023-05-31,3,West,12GB,1TB,2023,5,31,79338.0,3,0.0,Stable
Laptop,Acer,128209.0,2023-05-31,1,North,6GB,1TB,2023,5,31,128209.0,3,-66.67,Baisse
Laptop,Acer,43058.0,2023-06-01,9,North,16GB,1TB,2023,6,1,387522.0,1,800.0,Forte Hausse
Mobile Phone,Acer,197313.0,2023-06-02,2,South,8GB,1TB,2023,6,2,394626.0,9,-77.78,Baisse
Laptop,Acer,127309.0,2023-06-02,7,North,4GB,64GB,2023,6,2,891163.0,2,250.0,Forte Hausse
Mobile Phone,Acer,105670.0,2023-06-02,6,West,8GB,1TB,2023,6,2,634020.0,7,-14.29,Baisse
Laptop,Acer,186378.0,2023-06-03,10,South,4GB,64GB,2023,6,3,1863780.0,6,66.67,Forte Hausse
Laptop,Acer,52898.0,2023-06-03,2,South,12GB,128GB,2023,6,3,105796.0,10,-80.0,Baisse
Laptop,Acer,104181.0,2023-06-04,8,South,8GB,512GB,2023,6,4,833448.0,2,300.0,Forte Hausse
Laptop,Acer,52733.0,2023-06-05,6,Central,4GB,64GB,2023,6,5,316398.0,8,-25.0,Baisse
Laptop,Acer,69565.0,2023-06-05,5,East,6GB,1TB,2023,6,5,347825.0,6,-16.67,Baisse
Mobile Phone,Acer,88618.0,2023-06-06,2,North,4GB,512GB,2023,6,6,177236.0,5,-60.0,Baisse
Laptop,Acer,40224.0,2023-06-06,1,Central,4GB,256GB,2023,6,6,40224.0,2,-50.0,Baisse
Mobile Phone,Acer,103448.0,2023-06-07,6,North,12GB,64GB,2023,6,7,620688.0,1,500.0,Forte Hausse
Laptop,Acer,39503.0,2023-06-07,2,Central,8GB,128GB,2023,6,7,79006.0,6,-66.67,Baisse
Laptop,Acer,92592.0,2023-06-08,4,West,4GB,512GB,2023,6,8,370368.0,2,100.0,Forte Hausse
Laptop,Acer,82754.0,2023-06-10,1,North,32GB,512GB,2023,6,10,82754.0,4,-75.0,Baisse
Mobile Phone,Acer,120024.0,2023-06-11,3,West,6GB,64GB,2023,6,11,360072.0,1,200.0,Forte Hausse
Laptop,Acer,50024.0,2023-06-12,6,South,16GB,512GB,2023,6,12,300144.0,3,100.0,Forte Hausse
Mobile Phone,Acer,135185.0,2023-06-12,3,South,32GB,64GB,2023,6,12,405555.0,6,-50.0,Baisse
Mobile Phone,Acer,127206.0,2023-06-13,2,South,4GB,64GB,2023,6,13,254412.0,3,-33.33,Baisse
Laptop,Acer,71919.0,2023-06-13,1,West,4GB,256GB,2023,6,13,71919.0,2,-50.0,Baisse
Laptop,Acer,45386.0,2023-06-14,1,East,8GB,256GB,2023,6,14,45386.0,1,0.0,Stable
Laptop,Acer,107009.0,2023-06-14,1,Central,16GB,256GB,2023,6,14,107009.0,1,0.0,Stable
Laptop,Acer,77967.0,2023-06-14,8,South,32GB,512GB,2023,6,14,623736.0,1,700.0,Forte Hausse
Mobile Phone,Acer,190253.0,2023-06-15,6,South,8GB,512GB,2023,6,15,1141518.0,8,-25.0,Baisse
Mobile Phone,Acer,136639.0,2023-06-16,1,Central,4GB,64GB,2023,6,16,136639.0,6,-83.33,Baisse
Mobile Phone,Acer,188533.0,2023-06-16,8,North,6GB,256GB,2023,6,16,1508264.0,1,700.0,Forte Hausse
Mobile Phone,Acer,54563.0,2023-06-18,8,West,4GB,512GB,2023,6,18,436504.0,8,0.0,Stable
Laptop,Acer,16482.0,2023-06-18,7,West,4GB,512GB,2023,6,18,115374.0,8,-12.5,Baisse
Mobile Phone,Acer,48978.0,2023-06-20,6,East,16GB,256GB,2023,6,20,293868.0,7,-14.29,Baisse
Laptop,Acer,16403.0,2023-06-20,10,Central,16GB,1TB,2023,6,20,164030.0,6,66.67,Forte Hausse
Laptop,Acer,24172.0,2023-06-20,3,Central,4GB,1TB,2023,6,20,72516.0,10,-70.0,Baisse
Laptop,Acer,129501.0,2023-06-21,8,East,8GB,256GB,2023,6,21,1036008.0,3,166.67,Forte Hausse
Laptop,Acer,114849.0,2023-06-22,9,Central,16GB,128GB,2023,6,22,1033641.0,8,12.5,Forte Hausse
Mobile Phone,Acer,92242.0,2023-06-22,10,Central,12GB,128GB,2023,6,22,922420.0,9,11.11,Forte Hausse
Mobile Phone,Acer,138231.0,2023-06-23,1,Central,12GB,256GB,2023,6,23,138231.0,10,-90.0,Baisse
Mobile Phone,Acer,143725.0,2023-06-24,6,West,4GB,256GB,2023,6,24,862350.0,1,500.0,Forte Hausse
Laptop,Acer,48670.0,2023-06-24,1,West,8GB,128GB,2023,6,24,48670.0,6,-83.33,Baisse
Laptop,Acer,130634.0,2023-06-25,7,East,8GB,64GB,2023,6,25,914438.0,1,600.0,Forte Hausse
Laptop,Acer,43378.0,2023-06-25,5,West,6GB,256GB,2023,6,25,216890.0,7,-28.57,Baisse
Mobile Phone,Acer,65350.0,2023-06-27,6,West,4GB,128GB,2023,6,27,392100.0,5,20.0,Forte Hausse
Laptop,Acer,176416.0,2023-06-29,1,East,16GB,256GB,2023,6,29,176416.0,6,-83.33,Baisse
Mobile Phone,Acer,9654.0,2023-06-29,4,East,12GB,1TB,2023,6,29,38616.0,1,300.0,Forte Hausse
Mobile Phone,Acer,101560.0,2023-07-01,2,North,6GB,1TB,2023,7,1,203120.0,4,-50.0,Baisse
Mobile Phone,Acer,50089.0,2023-07-03,7,West,6GB,256GB,2023,7,3,350623.0,2,250.0,Forte Hausse
Mobile Phone,Acer,88236.0,2023-07-03,5,East,32GB,64GB,2023,7,3,441180.0,7,-28.57,Baisse
Mobile Phone,Acer,110760.0,2023-07-04,9,Central,4GB,512GB,2023,7,4,996840.0,5,80.0,Forte Hausse
Laptop,Acer,127423.0,2023-07-07,2,East,16GB,512GB,2023,7,7,254846.0,9,-77.78,Baisse
Mobile Phone,Acer,40618.0,2023-07-09,8,South,8GB,128GB,2023,7,9,324944.0,2,300.0,Forte Hausse
Laptop,Acer,154058.0,2023-07-09,9,South,6GB,256GB,2023,7,9,1386522.0,8,12.5,Forte Hausse
Mobile Phone,Acer,157802.0,2023-07-10,5,South,16GB,128GB,2023,7,10,789010.0,9,-44.44,Baisse
Laptop,Acer,18696.0,2023-07-10,9,North,12GB,64GB,2023,7,10,168264.0,5,80.0,Forte Hausse
Mobile Phone,Acer,182152.0,2023-07-10,3,South,4GB,512GB,2023,7,10,546456.0,9,-66.67,Baisse
Laptop,Acer,12336.0,2023-07-11,1,Central,8GB,64GB,2023,7,11,12336.0,3,-66.67,Baisse
Laptop,Acer,57613.0,2023-07-11,6,East,12GB,64GB,2023,7,11,345678.0,1,500.0,Forte Hausse
Mobile Phone,Acer,156781.0,2023-07-11,9,East,16GB,128GB,2023,7,11,1411029.0,6,50.0,Forte Hausse
Laptop,Acer,142219.0,2023-07-13,1,Central,6GB,1TB,2023,7,13,142219.0,9,-88.89,Baisse
Laptop,Acer,57252.0,2023-07-16,3,Central,16GB,1TB,2023,7,16,171756.0,1,200.0,Forte Hausse
Laptop,Acer,22245.0,2023-07-17,10,East,6GB,128GB,2023,7,17,222450.0,3,233.33,Forte Hausse
Mobile Phone,Acer,174371.0,2023-07-18,2,East,8GB,512GB,2023,7,18,348742.0,10,-80.0,Baisse
Mobile Phone,Acer,130075.0,2023-07-18,2,West,32GB,128GB,2023,7,18,260150.0,2,0.0,Stable
Laptop,Acer,84407.0,2023-07-18,9,North,6GB,256GB,2023,7,18,759663.0,2,350.0,Forte Hausse
Laptop,Acer,68105.0,2023-07-18,9,South,16GB,512GB,2023,7,18,612945.0,9,0.0,Stable
Mobile Phone,Acer,12173.0,2023-07-19,10,West,6GB,256GB,2023,7,19,121730.0,9,11.11,Forte Hausse
Mobile Phone,Acer,101411.0,2023-07-21,9,South,6GB,1TB,2023,7,21,912699.0,10,-10.0,Baisse
Mobile Phone,Acer,97493.0,2023-07-22,2,West,8GB,1TB,2023,7,22,194986.0,9,-77.78,Baisse
Mobile Phone,Acer,99803.0,2023-07-22,10,Central,4GB,512GB,2023,7,22,998030.0,2,400.0,Forte Hausse
Mobile Phone,Acer,111791.0,2023-07-22,3,South,8GB,128GB,2023,7,22,335373.0,10,-70.0,Baisse
Laptop,Acer,132555.0,2023-07-23,3,Central,4GB,256GB,2023,7,23,397665.0,3,0.0,Stable
Laptop,Acer,130635.0,2023-07-23,7,North,16GB,64GB,2023,7,23,914445.0,3,133.33,Forte Hausse
Mobile Phone,Acer,157297.0,2023-07-25,9,East,16GB,512GB,2023,7,25,1415673.0,7,28.57,Forte Hausse
Mobile Phone,Acer,92599.0,2023-07-25,6,South,16GB,64GB,2023,7,25,555594.0,9,-33.33,Baisse
Mobile Phone,Acer,118081.0,2023-07-26,4,South,32GB,128GB,2023,7,26,472324.0,6,-33.33,Baisse
Mobile Phone,Acer,82960.0,2023-07-27,3,North,16GB,128GB,2023,7,27,248880.0,4,-25.0,Baisse
Laptop,Acer,51238.0,2023-07-27,4,West,16GB,64GB,2023,7,27,204952.0,3,33.33,Forte Hausse
Mobile Phone,Acer,113693.0,2023-07-27,2,West,8GB,64GB,2023,7,27,227386.0,4,-50.0,Baisse
Mobile Phone,Acer,129937.0,2023-07-27,4,Central,6GB,128GB,2023,7,27,519748.0,2,100.0,Forte Hausse
Mobile Phone,Acer,45123.0,2023-07-28,4,West,8GB,256GB,2023,7,28,180492.0,4,0.0,Stable
Mobile Phone,Acer,94283.0,2023-07-30,1,West,6GB,64GB,2023,7,30,94283.0,4,-75.0,Baisse
Laptop,Acer,145191.0,2023-07-30,6,East,4GB,64GB,2023,7,30,871146.0,1,500.0,Forte Hausse
Laptop,Acer,194196.0,2023-07-30,7,West,8GB,64GB,2023,7,30,1359372.0,6,16.67,Forte Hausse
Mobile Phone,Acer,85184.0,2023-07-31,2,West,6GB,1TB,2023,7,31,170368.0,7,-71.43,Baisse
Laptop,Acer,167848.0,2023-07-31,7,East,12GB,1TB,2023,7,31,1174936.0,2,250.0,Forte Hausse
Laptop,Acer,74321.0,2023-07-31,4,South,12GB,64GB,2023,7,31,297284.0,7,-42.86,Baisse
Mobile Phone,Acer,179409.0,2023-07-31,4,South,8GB,64GB,2023,7,31,717636.0,4,0.0,Stable
Laptop,Acer,90443.0,2023-08-01,10,Central,6GB,1TB,2023,8,1,904430.0,4,150.0,Forte Hausse
Mobile Phone,Acer,56479.0,2023-08-02,5,East,16GB,256GB,2023,8,2,282395.0,10,-50.0,Baisse
Mobile Phone,Acer,7235.0,2023-08-04,6,West,32GB,128GB,2023,8,4,43410.0,5,20.0,Forte Hausse
Laptop,Acer,19191.0,2023-08-04,3,West,6GB,512GB,2023,8,4,57573.0,6,-50.0,Baisse
Mobile Phone,Acer,50236.0,2023-08-04,4,North,4GB,64GB,2023,8,4,200944.0,3,33.33,Forte Hausse
Laptop,Acer,47641.0,2023-08-06,4,South,6GB,128GB,2023,8,6,190564.0,4,0.0,Stable
Mobile Phone,Acer,120803.0,2023-08-08,10,North,16GB,1TB,2023,8,8,1208030.0,4,150.0,Forte Hausse
Mobile Phone,Acer,159841.0,2023-08-08,3,North,12GB,256GB,2023,8,8,479523.0,10,-70.0,Baisse
Laptop,Acer,63231.0,2023-08-08,6,Central,16GB,256GB,2023,8,8,379386.0,3,100.0,Forte Hausse
Laptop,Acer,195864.0,2023-08-10,3,West,6GB,128GB,2023,8,10,587592.0,6,-50.0,Baisse
Mobile Phone,Acer,126541.0,2023-08-11,9,North,16GB,128GB,2023,8,11,1138869.0,3,200.0,Forte Hausse
Mobile Phone,Acer,47349.0,2023-08-12,1,South,32GB,1TB,2023,8,12,47349.0,9,-88.89,Baisse
Mobile Phone,Acer,9979.0,2023-08-12,6,East,8GB,64GB,2023,8,12,59874.0,1,500.0,Forte Hausse
Laptop,Acer,164711.0,2023-08-13,3,West,32GB,64GB,2023,8,13,494133.0,6,-50.0,Baisse
Laptop,Acer,89151.0,2023-08-14,6,South,32GB,64GB,2023,8,14,534906.0,3,100.0,Forte Hausse
Laptop,Acer,171466.0,2023-08-14,6,East,4GB,128GB,2023,8,14,1028796.0,6,0.0,Stable
Laptop,Acer,166083.0,2023-08-14,2,South,8GB,1TB,2023,8,14,332166.0,6,-66.67,Baisse
Laptop,Acer,73719.0,2023-08-15,2,West,8GB,256GB,2023,8,15,147438.0,2,0.0,Stable
Mobile Phone,Acer,70952.0,2023-08-16,2,South,12GB,256GB,2023,8,16,141904.0,2,0.0,Stable
Laptop,Acer,77426.0,2023-08-16,5,West,16GB,1TB,2023,8,16,387130.0,2,150.0,Forte Hausse
Mobile Phone,Acer,55092.0,2023-08-16,9,Central,32GB,64GB,2023,8,16,495828.0,5,80.0,Forte Hausse
Mobile Phone,Acer,103697.0,2023-08-18,4,Central,4GB,256GB,2023,8,18,414788.0,9,-55.56,Baisse
Laptop,Acer,16789.0,2023-08-18,10,Central,4GB,1TB,2023,8,18,167890.0,4,150.0,Forte Hausse
Laptop,Acer,104039.0,2023-08-19,9,East,4GB,128GB,2023,8,19,936351.0,10,-10.0,Baisse
Laptop,Acer,127971.0,2023-08-19,5,Central,12GB,64GB,2023,8,19,639855.0,9,-44.44,Baisse
Laptop,Acer,56752.0,2023-08-20,8,East,32GB,128GB,2023,8,20,454016.0,5,60.0,Forte Hausse
Laptop,Acer,188559.0,2023-08-21,5,South,8GB,1TB,2023,8,21,942795.0,8,-37.5,Baisse
Laptop,Acer,168042.0,2023-08-21,10,Central,8GB,64GB,2023,8,21,1680420.0,5,100.0,Forte Hausse
Mobile Phone,Acer,91770.0,2023-08-23,7,West,12GB,256GB,2023,8,23,642390.0,10,-30.0,Baisse
Laptop,Acer,64620.0,2023-08-23,1,North,12GB,256GB,2023,8,23,64620.0,7,-85.71,Baisse
Laptop,Acer,92678.0,2023-08-24,5,South,8GB,1TB,2023,8,24,463390.0,1,400.0,Forte Hausse
Laptop,Acer,175837.0,2023-08-24,6,North,16GB,256GB,2023,8,24,1055022.0,5,20.0,Forte Hausse
Mobile Phone,Acer,179312.0,2023-08-26,10,South,12GB,1TB,2023,8,26,1793120.0,6,66.67,Forte Hausse
Mobile Phone,Acer,129222.0,2023-08-26,4,North,8GB,128GB,2023,8,26,516888.0,10,-60.0,Baisse
Laptop,Acer,172279.0,2023-08-26,5,East,6GB,256GB,2023,8,26,861395.0,4,25.0,Forte Hausse
Laptop,Acer,179611.0,2023-08-26,1,North,16GB,256GB,2023,8,26,179611.0,5,-80.0,Baisse
Mobile Phone,Acer,38060.0,2023-08-26,3,South,16GB,128GB,2023,8,26,114180.0,1,200.0,Forte Hausse
Mobile Phone,Acer,110913.0,2023-08-27,5,West,32GB,1TB,2023,8,27,554565.0,3,66.67,Forte Hausse
Mobile Phone,Acer,82707.0,2023-08-28,8,South,32GB,1TB,2023,8,28,661656.0,5,60.0,Forte Hausse
Mobile Phone,Acer,139300.0,2023-08-28,5,North,12GB,512GB,2023,8,28,696500.0,8,-37.5,Baisse
Laptop,Acer,148118.0,2023-08-30,7,North,8GB,1TB,2023,8,30,1036826.0,5,40.0,Forte Hausse
Laptop,Acer,60058.0,2023-08-31,10,Central,6GB,256GB,2023,8,31,600580.0,7,42.86,Forte Hausse
Laptop,Acer,80172.0,2023-09-01,8,South,4GB,512GB,2023,9,1,641376.0,10,-20.0,Baisse
Laptop,Acer,13302.0,2023-09-03,7,Central,6GB,256GB,2023,9,3,93114.0,8,-12.5,Baisse
Mobile Phone,Acer,85364.0,2023-09-04,7,East,32GB,64GB,2023,9,4,597548.0,7,0.0,Stable
Laptop,Acer,69070.0,2023-09-05,2,South,32GB,1TB,2023,9,5,138140.0,7,-71.43,Baisse
Mobile Phone,Acer,120369.0,2023-09-06,10,East,4GB,1TB,2023,9,6,1203690.0,2,400.0,Forte Hausse
Mobile Phone,Acer,196664.0,2023-09-06,9,North,32GB,256GB,2023,9,6,1769976.0,10,-10.0,Baisse
Mobile Phone,Acer,116349.0,2023-09-06,2,South,12GB,128GB,2023,9,6,232698.0,9,-77.78,Baisse
Laptop,Acer,118148.0,2023-09-06,3,West,16GB,64GB,2023,9,6,354444.0,2,50.0,Forte Hausse
Laptop,Acer,7785.0,2023-09-06,8,East,8GB,64GB,2023,9,6,62280.0,3,166.67,Forte Hausse
Mobile Phone,Acer,40855.0,2023-09-07,5,East,8GB,1TB,2023,9,7,204275.0,8,-37.5,Baisse
Mobile Phone,Acer,10937.0,2023-09-08,5,West,6GB,64GB,2023,9,8,54685.0,5,0.0,Stable
Laptop,Acer,117750.0,2023-09-08,2,North,32GB,256GB,2023,9,8,235500.0,5,-60.0,Baisse
Laptop,Acer,108691.0,2023-09-09,9,West,6GB,128GB,2023,9,9,978219.0,2,350.0,Forte Hausse
Laptop,Acer,194106.0,2023-09-09,5,West,32GB,64GB,2023,9,9,970530.0,9,-44.44,Baisse
Laptop,Acer,17311.0,2023-09-10,2,North,32GB,512GB,2023,9,10,34622.0,5,-60.0,Baisse
Mobile Phone,Acer,136301.0,2023-09-10,10,North,12GB,128GB,2023,9,10,1363010.0,2,400.0,Forte Hausse
Mobile Phone,Acer,188972.0,2023-09-10,6,South,12GB,1TB,2023,9,10,1133832.0,10,-40.0,Baisse
Laptop,Acer,196909.0,2023-09-11,9,South,12GB,64GB,2023,9,11,1772181.0,6,50.0,Forte Hausse
Laptop,Acer,179476.0,2023-09-11,9,South,12GB,256GB,2023,9,11,1615284.0,9,0.0,Stable
Mobile Phone,Acer,90205.0,2023-09-11,6,Central,6GB,128GB,2023,9,11,541230.0,9,-33.33,Baisse
Mobile Phone,Acer,191271.0,2023-09-12,6,Central,4GB,512GB,2023,9,12,1147626.0,6,0.0,Stable
Mobile Phone,Acer,46962.0,2023-09-13,8,West,32GB,256GB,2023,9,13,375696.0,6,33.33,Forte Hausse
Mobile Phone,Acer,17006.0,2023-09-13,6,West,16GB,64GB,2023,9,13,102036.0,8,-25.0,Baisse
Laptop,Acer,124578.0,2023-09-14,5,North,12GB,1TB,2023,9,14,622890.0,6,-16.67,Baisse
Mobile Phone,Acer,159713.0,2023-09-14,4,East,32GB,256GB,2023,9,14,638852.0,5,-20.0,Baisse
Laptop,Acer,169541.0,2023-09-14,6,Central,12GB,512GB,2023,9,14,1017246.0,4,50.0,Forte Hausse
Mobile Phone,Acer,146030.0,2023-09-14,4,Central,12GB,64GB,2023,9,14,584120.0,6,-33.33,Baisse
Mobile Phone,Acer,197343.0,2023-09-15,7,South,6GB,512GB,2023,9,15,1381401.0,4,75.0,Forte Hausse
Laptop,Acer,104460.0,2023-09-16,3,North,4GB,1TB,2023,9,16,313380.0,7,-57.14,Baisse
Mobile Phone,Acer,159477.0,2023-09-17,1,South,6GB,1TB,2023,9,17,159477.0,3,-66.67,Baisse
Mobile Phone,Acer,122376.0,2023-09-18,5,South,8GB,256GB,2023,9,18,611880.0,1,400.0,Forte Hausse
Laptop,Acer,81823.0,2023-09-18,9,North,8GB,64GB,2023,9,18,736407.0,5,80.0,Forte Hausse
Mobile Phone,Acer,92867.0,2023-09-18,8,West,6GB,128GB,2023,9,18,742936.0,9,-11.11,Baisse
Laptop,Acer,161610.0,2023-09-19,6,Central,8GB,1TB,2023,9,19,969660.0,8,-25.0,Baisse
Laptop,Acer,11412.0,2023-09-22,2,East,16GB,128GB,2023,9,22,22824.0,6,-66.67,Baisse
Mobile Phone,Acer,98601.0,2023-09-22,2,Central,4GB,128GB,2023,9,22,197202.0,2,0.0,Stable
Laptop,Acer,199652.0,2023-09-23,10,Central,32GB,1TB,2023,9,23,1996520.0,2,400.0,Forte Hausse
Laptop,Acer,19609.0,2023-09-24,1,North,4GB,128GB,2023,9,24,19609.0,10,-90.0,Baisse
